estado,web,prueba-en-web,telefono,app-android,tiene-prueba-and,app-ios,tiene-prueba-ios,sms,tiene-prueba-sms,whatsapp,tiene-prueba-wp,fecha-fin-cuarentena,centros-salud,medidas-01,medidas-02,medidas-03,medidas-04,telefono-violencia-genero,violencia-genero-en-linea,programas,otros
aguascalientes,http://www.aguascalientes.gob.mx/coronavirus/,no,"{general: [4499102020, 80026766247, 075]}",no,0,no,0,no,0,no,0,30-05-2020,no,,,,,"4491568206, 4493990315, 4494004765, 4494975314, 4493959704",no,no,"Atención psicológica por whatsapp: 449256525, Línea nocturna de atención psicológica: 4491569905"
baja-california,http://www.bajacalifornia.gob.mx/coronavirus,http://www.bajacalifornia.gob.mx/coronavirus,"{mexicali: 6863048048, ensenada: 6462390955, vicente-guerrero: 6469475408, tijuana-tecate-rosarito: 6641082529}",no,0,no,0,no,0,https://api.whatsapp.com/send?phone=5216632006930&text=Hola%20BC,1,30-05-2020,no,,,,,911,no,no,no
baja-california-sur,https://coronavirus.bcs.gob.mx/,http://covid19.bcs.gob.mx/,8002276843,no,0,no,0,no,0,no,0,30-05-2020,no,,,,,80022768537,Whatsapp: 6122188391,no,Alianza Comunitaria BCS: https://www.acbcs.org.mx/
campeche ,http://www.campeche.salud.gob.mx/,no,911,no,0,no,0,59810 - Covidcamp,1,no,0,30-05-2020,no,,,,,911,"Whatsapp: 9812413638, Correo: apoyomujeres@imecam.gob.mx",no,no
ciudad-de-mexico,https://covid19.cdmx.gob.mx/,https://test.covid19.cdmx.gob.mx/,56581111,no,0,no,0,51515 - COVID19,1,no,0,30-05-2020,https://hospitales.covid19.cdmx.gob.mx/public/hospitales/EstatusHospitales.xhtml,,,,,5556581111,"Centros: https://datos.cdmx.gob.mx/explore/dataset/servicios-atencion-violencia-mujeres-durante-contingencia-covid19/map/?sort=-numero&location=10,19.30985,-99.00948, Website: https://www.semujeres.cdmx.gob.mx/",no,no
chiapas ,http://coronavirus.saludchiapas.gob.mx/,no,8007722020,no,0,no,0,no,0,https://api.whatsapp.com/send?phone=529616077674&text=&source=&data=&app_absent=,0,30-05-2020,no,,,,,no,Directorio: http://seigen.chiapas.gob.mx/uploads/images/20200422123522_4_352.jpg,no,no
chihuahua,https://saluddigitalchihuahua.com.mx/covid/,https://saluddigitalchihuahua.com.mx/covid/logon.aspx,911,https://comunicachihuahua.desarrollosenlanube.net/descarga-la-app-covid-19-chihuahua/,0,https://apps.apple.com/mx/app/covid-19-chihuahua/id1503391980#?platform=iphone,0,no,0,no,0,30-05-2020,no,,,,,no,Líneas por zona: http://www.institutochihuahuensedelasmujeres.gob.mx/articulos/ver/brinda-ichmujeres-atencion-permanente-via-telefonica-y-amplia-horarios-de-oficin,https://planemergente.chihuahua.gob.mx/?Ancho=1366&Alto=768,no
coahuila,http://www.saludcoahuila.gob.mx/COVID19/index.php,http://www.saludcoahuila.gob.mx/COVID19/cuestionario.php,911,no,0,no,0,no,0,no,0,30-05-2020,http://www.saludcoahuila.gob.mx/COVID19/centros_atencion.php,,,,,no,Centros de Atención: https://drive.google.com/file/d/1I6tIR1d48W_BOuPxtvCITe7sr-Q5U2xn/view,http://www.saludcoahuila.gob.mx/COVID19/programas.php,no
colima,http://www.saludcolima.gob.mx/coronavirus/,no,8003372583,no,0,no,0,no,0,no,0,30-05-2020,http://rppccolima.col.gob.mx:8000/geoportal/vc,,,,,"Línea Mujer: 075, Emergencias: 911, Denuncia Anónima: 089",no,no,no
durango ,http://covid.durango.gob.mx/,https://docs.google.com/forms/d/e/1FAIpQLSfNxG25lEgApgvpwaXAIdsjdmvNw2uOzP1T0saDrqokIdMd_w/viewform,"{general: 8008222200, 8000044800, 6181377306, 6183251573, 6181347042}",no,0,no,0,no,0,no,0,30-05-2020,no,,,,,6181374621,no,http://covid.durango.gob.mx/programas-y-actividades/,no
estado-de-mexico,http://salud.edomex.gob.mx/salud/covid,no,8009003200,no,0,no,0,no,0,no,0,30-05-2020,http://salud.edomex.gob.mx/isem/at_unidades_medicas,,,,,18001084053,no,no,no
